"","UMAP_1","UMAP_2"
"chip4_1851035024_site_39",3.57040388987098,-4.7312602946456
"chip1_1851035014_site_42",3.43100543425117,-4.85725497695762
"chip4_1851035024_site_41",3.08517332479987,-5.49887775871116
"chip3_1851035015_site_41",3.41403217718635,-5.17146133872825
"chip1_1851035014_site_39",1.61163087294135,-5.57665705177146
"chip3_1851035015_site_43",3.38128014013801,-5.33680963012534
"chip2_1851035011_site_37",2.00275917456184,-5.2719280669387
"chip1_1851035014_site_16",1.63869138166938,-5.0537917563613
"chip1_1851035014_site_45",3.63440926477943,-4.35768484565574
"chip4_1851035024_site_38",2.85580726072822,-5.00413703414756
"chip4_1851035024_site_43",2.99725945398841,-4.5249888846572
"chip2_1851035011_site_46",2.35329456732307,-4.87004827949363
"chip4_1851035024_site_48",1.93374581739936,-3.78166222068625
"chip2_1851035011_site_43",2.1543070833448,-5.69110130760032
"chip5_1851027101_site_48",2.6709279577497,-5.29925608131247
"chip8_1851022116_site_45",3.28569777414832,-4.33628701659995
"chip6_1851027105_site_48",2.14846535131965,-4.61483811828452
"chip6_1851027105_site_39",2.72657509253059,-5.61946701499778
"chip5_1851027101_site_42",1.95720858976875,-5.43264317008811
